公司名稱(中文),職缺項目,工作地點,工作時間,工作待遇,需求人數,工作內容(含應徵方式),附檔1,附檔2,附檔3,填寫單位,填寫人,職稱,連絡電話,Email,刊登日期(起),刊登日期(迄),刊登狀態,刊登送出時間,是否將填寫單位資訊公布在職缺列表,刪除時間
駿維實業股份有限公司,製圖工程師,高雄市小港臨海工業區長泰街17號,日班 08:00~17:00,面議,2,"1.進行機械設計並輸出設計文件( 機器圖紙、外購件清單、機器操作說明書等)
2.協助工程師收尋資料，如:材料找尋、文獻閱讀重點整理等
3.報告簡報撰寫，並處理所有文書相關資料處理、文件控管等
4.協助機器製造、安裝等後續工作，並與相關部門做溝通
5.針對測試有誤之設計不良原因做調整改善",,,,財管部,姚曉君,專員,07-8718126#306,angela@roller.com.tw,2017/10/30,2018/02/28,true,2017/10/30,true
駿維實業股份有限公司,產品工程師-1,高雄市小港臨海工業區長泰街17號,日班 08:00~17:00,面議,2,"1.客戶端現場服務並加強互動以提升客戶信賴度
2.規劃客戶端設備改善工程
3.規劃工程承接專案，整合專案成本預算核估及審規報價
4.審查專案規範及規格審閱以降低生產錯誤
5.協商專案執行進度
6.市場資源需求收集，及趨勢預測",,,,財管部,姚曉君,專員,07-8718126#306,angela@roller.com.tw,2017/10/30,2018/02/28,true,2017/10/30,true
益欣資訊股份有限公司,Android工程師/系統分析工程師/軟體研發工程師,台南市中西區湖美街215巷23號,週一~週五 09:00~18:00,"新台幣28,000~35,000元起，其他可面議。",3,"Android工程師
1.  開發 Android 相關產品。 
2.  維護 Android 相關產品，分析與問題處理。 
3.  提供其他部門專業技術諮詢。 
4.  產品測試及技術文件撰寫。 

系統分析工程師 
1.  客戶需求訪談與系統分析設計及相關技術文件產出。 
2.  分析電腦使用者需要，以發展硬體和軟體架構。 
3.  規劃並撰寫系統需求、規格書及計畫書。 
4.  編寫硬體及軟體結構操作與維修方法之說明手冊。 
5.  協助進行內部開發專案管理，參與會議、簡報及相關溝通協調工
作。 

軟體研發工程師
1.  使用 C#、Java 或 Delphi 進行程式撰寫。 
2.  規劃執行軟體架構及模組之設計，並控管軟體設計進度。 3.  進行軟體之測試與修改。 
4.  規劃、執行與維護量產的產品。 
5.  協助研發軟體新技術與新工具。 


如對職務內容感到興趣者，可將履歷/自傳 E-mail至sw.hung@lafresh.com.tw (HR 洪先生)或透過104 人力銀行搜尋「益欣資訊股份有限公司」投遞履歷。益欣資訊歡迎您的加入！ 

**詳細職務資訊內容與條件可下載附件檔案。",徵才說明書_益欣資訊股份有限公司20171031.pdf,,,政策執行辦公室,洪先生,HR,06-2504200#121,sw.hung@lafresh.com.tw,2017/10/31,2017/12/31,true,2017/10/31,true
中華電信,中華電信公司107年研發替代役人員,台北/楊梅,詳如簡章,詳如簡章,10,詳如簡章,107年研發替代役遴選簡章.pdf,,,人力資源處,,,,pumalee@cht.com.tw,2017/11/06,2017/11/15,true,2017/11/06,true
ASM 台灣先藝科技股份有限公司,Senior Service Engineer,Taichung & Hsinchu (5 persons for each office),正常班,依公司規定,10,"1. Troubleshooting, system installation and tools maintenance for wafer processing technology / ALD, PECVD, PEALD product lines in semiconductor industry is preferred. 
2. At least 5~10 years relevant experiences in field service responsibilities is needed. 
3. Good communication skills and reporting skills are requested. 
4. English capabilities in listening, speaking, reading and writing are needed.
5. Please submit your CV via: hr.taiwan@asm.com if you are interested in this position.",,,,ASM 台灣先藝科技(股)公司,Vira Lee / Nancy Yang,(03) 666-7722 #22662 / #22101,(03) 666-7722 #22662 / #22101,hr.taiwan@asm.com,2017/11/07,2018/03/31,true,2017/11/07,true
ASM 台灣先藝科技股份有限公司,Senior Customer Service Engineer,Taichung / Hsinchu offices  (5 persons for each site),Normal Shift,According to company guideline,10,"1. Troubleshooting, system installation and tools maintenance for wafer processing technology / ALD, PECVD, PEALD product lines in semiconductor industry is preferred. 
2. At least 5~10 years relevant experiences in field service responsibilities is needed. 
3. Good communication skills and reporting skills are requested. 
4. English capabilities in listening, speaking, reading and writing are needed.
5. Please submit your CV via: hr.taiwan@asm.com if you are interested in this position.",,,,HR Department,Vira Lee / Nancy Yang,HR Manager / HR Officer,(03) 666-7722 #22662 / #22101,hr.taiwan@asm.com,2017/11/07,2018/03/31,true,2017/11/07,true
ASM 台灣先藝科技股份有限公司,Customer Service Engineer,Taichung / Hsinchu office (10 persons for each site),Normal Shift,According to company guideline,10,"1. Troubleshooting, system installation and tools maintenance for wafer processing technology / product lines in semiconductor industry is preferred. 
2. Fresh graduates or experienced candidates are welcome 
3. Good communication skills and reporting skills are requested. 
4. Basic English capabilities in listening, speaking, reading and writing are needed. 
5. Please submit your CV via: hr.taiwan@asm.com if you are interested in this position.",,,,HR Department,Vira Lee / Nancy Yang,HR Manager / HR Officer,(03) 666-7722 #22662 / #22101,hr.taiwan@asm.com,2017/11/07,2018/03/31,true,2017/11/07,true
ASM 台灣先藝科技股份有限公司,Senior Process Engineer,Taichung / Hsinchu,Normal Shift,According to company guideline,3,"1. Relevant technical background in Thin film, PECVD, ALD etc.  in semiconductor industry.
2. Master degree or above in Material science/Chemical Engineering/ Chemical or EE is required.  
3. Good communication skills and reporting skills are requested. 
4. English capabilities in listening, speaking, reading and writing are needed. 
5. Please submit your CV via: hr.taiwan@asm.com if you are interested in this position.",,,,HR Department,Vira Lee / Nancy Yang,HR Manager / HR Officer,(03) 666-7722 # 22662 / #22101,hr.taiwan@asm.com,2017/11/07,2018/03/31,true,2017/11/07,true
懋莉工業股份有限公司,資深業務專員,台南市永康區正南三路75號,08：00~17：00,面議,1,"1.國外新市場與新客戶開發
2.維繫與處理既有客戶業務
3.規劃國際性展覽與相關行銷活動
4.市場商情收集與分析
5.評估並協調客戶與公司產品開發事宜

欲應徵者，請透過104人力銀行投遞履歷。謝謝！",,,,人力資源部,,,,cchung@mony.com.tw,2017/11/10,2018/06/30,true,2017/11/10,true
懋莉工業股份有限公司,品保工程師,台南市永康區正南三路75號,08：00~17：00,面議,1,"1.生產性零組件核准程序（PPAP）文件及管制計劃（Control Plan）製作。
2.回應客戶產品可靠度資料及其他文件需求。
3.客戶稽核應對。
4.客訴件追蹤管理及回覆。
5.量測儀器校驗及管理。
6.量測系統分析（MSA）及G R&R執行。

欲應徵者請透過104人力銀行投遞履歷。謝謝！",,,,人力資源部,,,,cchung@mony.com.tw,2017/11/10,2018/04/30,true,2017/11/10,true
台灣關口工業股份有限公司,品保工程師,高雄市湖內區中山路二段二巷17弄5號(近嘉南藥理大學),08:30-17:30,"45,000元",2,"1.主要對象:國外客戶。
2.負責公司品保體系的建立，對出現的各種質量問題進行跟蹤處理。 
3.改善產品信賴度、可靠性、品質，進而全面提升產品品質。  
4.工作經驗不拘
5.語文條件:英文 聽說讀寫 精通
   外文系尤佳
6.欲應徵者請透過104或mail投遞履歷. (yishan@sekiguchi.com.tw)",,,,管理部,王小姐,07-6992187#125,07-6992187#125,yishan@sekiguchi.com.tw,2017/11/13,2017/12/31,true,2017/11/13,true
